category,text
RELEASE,"We are thrilled to announce the launch of our new flagship product, the Zeta 1000. It's faster, smarter, and available starting today."
RELEASE,"Introducing the revolutionary new feature: AI-powered analytics. Upgrade your dashboard now to get access."
RELEASE,"Our new software update v3.5 is now live. This version includes critical security patches and performance improvements."
CAMPAIGN,"Don't miss our summer sale! Get 50% off all plans for the next 48 hours. This is our biggest promotion of the year."
CAMPAIGN,"Sign up for our webinar next Tuesday to learn how top-performing teams use our platform to drive 10x results."
CAMPAIGN,"We're running a special limited-time offer. Refer a friend and you both get $50 in credit. Join our referral program!"
PRICING,"We've updated our pricing plans to better serve you. The Pro plan now starts at $49/month and includes new features."
PRICING,"Our enterprise tier has a new pricing structure. We are also adjusting the cost of our basic plan, effective July 1st."
PRICING,"Good news! We're dropping the price of our Standard plan from $99 to $79. More value, less cost."
HIRING,"We're looking for a new Senior Vice President of Marketing. This is a key leadership role to shape our brand's future."
HIRING,"Join our engineering team! We are hiring for several positions, including Senior Python Developer and Frontend React Engineer."
HIRING,"Our team is growing! We're excited to welcome our new Chief Financial Officer, Jane Doe, to the company."
NEWS,"Our CEO, John Smith, was featured in Forbes today, discussing the future of AI in business. Read the full article here."
NEWS,"We're proud to announce our Series C funding round of $50 million, led by Tech Ventures. This will fuel our global expansion."
NEWS,"Our company has just been named one of the 'Best Places to Work' in 2025. We're honored and proud of our amazing team."
